"Index","Name","Category","Definition Link"
,"Bulgaria uniform civil number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-bulgaria-uniform-civil-number"
,"Canada bank account number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-canada-bank-account-number"
,"Canada driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-canada-drivers-license-number"
,"Canada health service number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-canada-health-service-number"
,"Canada passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-canada-passport-number"
,"Canada personal health identification number (PHIN)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-canada-personal-health-identification-number"
,"Canada physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-canada-physical-addresses"
,"Canada social insurance number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-canada-social-insurance-number"
,"Chile identity card number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-chile-identity-card-number"
,"China resident identity card (PRC) number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-china-resident-identity-card-number"
,"Client secret / API key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-client-secret-api-key"
,"Credit card number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-credit-card-number"
,"Croatia driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-croatia-drivers-license-number"
,"Croatia identity card number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-croatia-identity-card-number"
,"Croatia passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-croatia-passport-number"
,"Croatia personal identification (OIB) number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-croatia-personal-identification-number"
,"Croatia physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-croatia-physical-addresses"
,"Cyprus Driver's License Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-cyprus-drivers-license-number"
,"Cyprus identity card","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-cyprus-identity-card"
,"Cyprus passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-cyprus-passport-number"
,"Cyprus physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-cyprus-physical-addresses"
,"Cyprus tax identification number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-cyprus-tax-identification-number"
,"Czech driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-czech-drivers-license-number"
,"Czech Republic Passport Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-czech-passport-number"
,"Czech personal identity number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-czech-personal-identity-number"
